"","respondent_id","Year","USBORN","DEGREE","BIRTHYR","GENDER","RACE","HISPANIC","SS048M1","SS044","SS045","SS046","SS047","SJ005M1","SJ005M2","SJ005M3","SS003_1","SS004_1","SS008_1","SS005_1","SS006_1","SS007_1","SS003_2","SS004_2","SS008_2","SS005_2","SS006_2","SS007_2","SS003_3","SS004_3","SS008_3","SS005_3","SS006_3","SS007_3","SS003_4","SS004_4","SS008_4","SS005_4","SS006_4","SS007_4","deathexpense_special","foreign","female","age","disabled","black_nh","white_nh","hisp_allraces","black_hi","white_hi","hisp_other","non_bwh","employed","retired","homemaker","degree","deathexpense_usd"
"1","10106_20",2022,5,9,1933,2,1,5,5,18000,NA,NA,NA,5,6,NA,8,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,36000,6,NA,NA,NA,0,1,1,89,0,0,1,0,0,0,0,0,0,1,1,"Degree unknown/Some College",18000
"2","10106_20",2022,5,9,1933,2,1,5,5,18000,NA,NA,NA,6,NA,NA,8,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,36000,6,NA,NA,NA,0,1,1,89,0,0,1,0,0,0,0,0,0,0,1,"Degree unknown/Some College",18000
"3","10281_10",2022,5,2,1938,2,2,5,5,15000,NA,NA,NA,5,NA,NA,2,650,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,1,1,84,0,1,0,0,0,0,0,0,0,1,0,"High school diploma",15000
"4","10394_10",2022,1,4,1940,1,1,5,5,20000,NA,NA,NA,5,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,0,82,0,0,1,0,0,0,0,0,0,1,0,"College (2-year or 4-year)",20000
"5","10537_11",2022,5,0,1932,1,2,5,3,22000,NA,NA,NA,5,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,1,0,90,0,1,0,0,0,0,0,0,0,1,0,"No degree",22000
"6","10537_11",2022,5,0,1932,1,2,5,3,22000,NA,NA,NA,5,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,1,0,90,0,1,0,0,0,0,0,0,0,1,0,"No degree",22000
"7","11999_10",2022,1,2,1937,1,1,5,5,1000,NA,NA,NA,5,NA,NA,2,750,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,0,85,0,0,1,0,0,0,0,0,0,1,0,"High school diploma",1000
"8","11999_10",2022,1,2,1937,1,1,5,5,1000,NA,NA,NA,5,NA,NA,2,750,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,0,85,0,0,1,0,0,0,0,0,0,1,0,"High school diploma",1000
"9","12218_20",2022,1,2,1941,2,1,5,5,10000,NA,NA,NA,5,NA,NA,3,99999998,NA,101,349,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,81,0,0,1,0,0,0,0,0,0,1,0,"High school diploma",10000
"10","12218_20",2022,1,2,1941,2,1,5,5,10000,NA,NA,NA,5,6,NA,3,99999998,NA,101,349,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,81,0,0,1,0,0,0,0,0,0,1,1,"High school diploma",10000
"11","12344_20",2022,1,4,1939,2,1,5,5,2945,NA,NA,NA,5,NA,NA,3,3700,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,83,0,0,1,0,0,0,0,0,0,1,0,"College (2-year or 4-year)",2945
"12","12344_20",2022,1,4,1939,2,1,5,5,2945,NA,NA,NA,6,NA,NA,3,3700,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,83,0,0,1,0,0,0,0,0,0,0,1,"College (2-year or 4-year)",2945
"13","12588_10",2022,1,4,1931,2,1,5,5,5757,NA,NA,NA,5,NA,NA,2,1802,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,91,0,0,1,0,0,0,0,0,0,1,0,"College (2-year or 4-year)",5757
"14","12588_10",2022,1,4,1931,2,1,5,5,5757,NA,NA,NA,5,NA,NA,2,1802,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,91,0,0,1,0,0,0,0,0,0,1,0,"College (2-year or 4-year)",5757
"15","13433_30",2022,1,2,1949,2,2,5,5,9999998,0,1999,NA,5,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,73,0,1,0,0,0,0,0,0,0,1,0,"High school diploma",999.5
"16","13433_30",2022,1,2,1949,2,2,5,5,9999998,0,1999,NA,5,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,73,0,1,0,0,0,0,0,0,0,1,0,"High school diploma",999.5
"17","13552_20",2022,1,2,1935,2,1,5,5,20000,NA,NA,NA,5,NA,NA,2,2000,4,NA,NA,NA,3,2010,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,87,0,0,1,0,0,0,0,0,0,1,0,"High school diploma",20000
"18","13590_30",2022,1,2,1944,2,1,5,5,3000,NA,NA,NA,5,NA,NA,2,1800,4,NA,NA,NA,5,NA,NA,NA,NA,NA,3,4200,4,NA,NA,NA,3,1200,4,NA,NA,NA,0,0,1,78,0,0,1,0,0,0,0,0,0,1,0,"High school diploma",3000
"19","13590_30",2022,1,2,1944,2,1,5,5,3000,NA,NA,NA,5,NA,NA,2,1800,4,NA,NA,NA,5,NA,NA,NA,NA,NA,3,4200,4,NA,NA,NA,3,1200,4,NA,NA,NA,0,0,1,78,0,0,1,0,0,0,0,0,0,1,0,"High school diploma",3000
"20","13817_40",2022,1,5,1948,2,1,5,5,1000,NA,NA,NA,5,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,74,0,0,1,0,0,0,0,0,0,1,0,"Postgraduate degree",1000
"21","13817_40",2022,1,5,1948,2,1,5,5,1000,NA,NA,NA,5,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,74,0,0,1,0,0,0,0,0,0,1,0,"Postgraduate degree",1000
"22","14420_21",2022,1,0,1951,2,1,5,5,9999998,5001,6999,NA,5,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,71,0,0,1,0,0,0,0,0,0,1,0,"No degree",6000
"23","14420_21",2022,1,0,1951,2,1,5,5,9999998,5001,6999,NA,5,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,71,0,0,1,0,0,0,0,0,0,1,0,"No degree",6000
"24","14619_20",2022,1,1,1935,2,1,5,5,0,NA,NA,NA,5,NA,NA,3,1100,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,87,0,0,1,0,0,0,0,0,0,1,0,"GED",0
"25","14619_20",2022,1,1,1935,2,1,5,5,0,NA,NA,NA,5,NA,NA,3,1100,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,87,0,0,1,0,0,0,0,0,0,1,0,"GED",0
"26","15514_20",2022,1,4,1935,2,1,5,2,10000,NA,NA,NA,5,NA,NA,3,2400,2,NA,NA,NA,3,1200,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,0,1,87,0,0,1,0,0,0,0,0,0,1,0,"College (2-year or 4-year)",10000
"27","15514_20",2022,1,4,1935,2,1,5,2,10000,NA,NA,NA,6,NA,NA,3,2400,2,NA,NA,NA,3,1200,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,0,1,87,0,0,1,0,0,0,0,0,0,0,1,"College (2-year or 4-year)",10000
"28","15883_11",2022,1,4,1944,2,1,5,5,0,NA,NA,NA,5,NA,NA,2,1600,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,78,0,0,1,0,0,0,0,0,0,1,0,"College (2-year or 4-year)",0
"29","15883_11",2022,1,4,1944,2,1,5,5,0,NA,NA,NA,5,NA,NA,2,1600,4,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,78,0,0,1,0,0,0,0,0,0,1,0,"College (2-year or 4-year)",0
"30","16048_20",2022,1,2,1937,1,1,5,5,8000,NA,NA,NA,5,NA,NA,2,99999998,NA,1001,99999996,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,100,4,NA,NA,NA,0,0,0,85,0,0,1,0,0,0,0,0,0,1,0,"High school diploma",8000
"31","16541_11",2022,1,2,1959,2,2,5,5,9999998,0,1999,NA,5,NA,NA,3,99999998,NA,651,999,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,63,0,1,0,0,0,0,0,0,0,1,0,"High school diploma",999.5
"32","16541_11",2022,1,2,1959,2,2,5,5,9999998,0,1999,NA,3,NA,NA,3,99999998,NA,651,999,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,63,0,1,0,0,0,0,0,0,1,0,0,"High school diploma",999.5
"33","16822_10",2022,1,2,1939,2,1,5,5,7500,NA,NA,NA,5,NA,NA,2,-8,-8,751,99999996,0,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,83,0,0,1,0,0,0,0,0,0,1,0,"High school diploma",7500
"34","16822_10",2022,1,2,1939,2,1,5,5,7500,NA,NA,NA,5,NA,NA,2,-8,-8,751,99999996,0,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,1,83,0,0,1,0,0,0,0,0,0,1,0,"High school diploma",7500
